"","LABORATORY DATA  
 
Genome Sequencing details till today 
Alpha / B.1.1.7  
 
Beta / B.1.351  
Delta / B.1.617.2  
Delta sub-lineages 
Kappa / B.1.617.1  
ETA / B.1.525 
Omicron / B.1.1.529","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","156","","","","","",""
"","","","","","","08","","","","","",""
"","","","","","","2956","","","","","",""
"","","","","","","1372","","","","","",""
"","","","","","","160","","","","","",""
"","","","","","","01","","","","","",""
"","","","","","","766","","","","","",""
"","*Data received from SSU.   
 
Date: 17-01-2022 
 Page 2 of 21","","","","","","","","","","",""
"","","","","","","","","","","","",""
