,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7648,7513,129,589097.0,1158.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,0,2,0,718074024,305004343,779152,944908,293117,189495,12,273,2021-10-24,TT
1,Andhra Pradesh,2063577,2044132,14343,29264255.0,37744.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,400,516,4,718074024,305004343,779152,944908,31753568,18487750,129513,203387,2021-10-24,TT
2,Arunachal Pradesh,55089,54677,280,1180648.0,385.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,0,10,0,718074024,305004343,779152,944908,768563,510839,92,529,2021-10-24,TT
3,Assam,608589,598759,5973,24442945.0,19713.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,139,244,6,718074024,305004343,779152,944908,19897435,7218646,13379,32474,2021-10-24,TT
4,Bihar,726058,716359,9661,49153285.0,148473.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,4,2,0,718074024,305004343,779152,944908,48587525,16201483,58727,79280,2021-10-24,TT
5,Chandigarh,65323,64475,820,782125.0,1649.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,2,1,0,718074024,305004343,779152,944908,922355,525340,76,478,2021-10-24,TT
6,Chhattisgarh,1005847,992056,13572,13562059.0,12625.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,20,31,0,718074024,305004343,779152,944908,14472264,6738962,12230,23839,2021-10-24,TT
7,Delhi,1439603,1414192,25091,29032667.0,60704.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,37,51,0,718074024,305004343,779152,944908,12895313,7156258,1985,2801,2021-10-24,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10642,4,72410.0,0.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,0,0,0,718074024,305004343,779152,944908,657951,356011,37,175,2021-10-24,TT
9,Goa,177886,173983,3358,1449373.0,2566.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,34,63,0,718074024,305004343,779152,944908,1254150,864620,637,4784,2021-10-24,TT
10,Gujarat,826418,816167,10087,30599574.0,32401.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,16,20,0,718074024,305004343,779152,944908,44400001,24311936,19480,54974,2021-10-24,TT
11,Himachal Pradesh,222569,217256,3718,3620659.0,1422.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,0,0,0,718074024,305004343,779152,944908,5700450,3209807,64,1262,2021-10-24,TT
12,Haryana,771157,760981,10049,12884394.0,19057.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,16,4,0,718074024,305004343,779152,944908,17611526,7747272,3078,7319,2021-10-24,TT
13,Jharkhand,348627,343268,5135,15521299.0,0.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,35,13,0,718074024,305004343,779152,944908,14686485,5156692,31471,55137,2021-10-24,TT
14,Jammu and Kashmir,331638,326343,4429,15947738.0,33688.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,72,68,0,718074024,305004343,779152,944908,9477494,4734294,3458,34625,2021-10-24,TT
15,Karnataka,2985986,2939239,38007,50148888.0,117827.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,388,586,5,718074024,305004343,779152,944908,41874008,21484276,22936,37074,2021-10-24,TT
16,Kerala,4915331,4808775,28592,37379774.0,79100.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,8538,11366,363,718074024,305004343,779152,944908,25196691,12865805,1915,15741,2021-10-24,TT
17,Ladakh,20904,20659,208,553093.0,173.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,5,6,0,718074024,305004343,779152,944908,208273,150747,0,1,2021-10-24,TT
18,Lakshadweep,10365,10270,51,261916.0,43.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,0,0,0,718074024,305004343,779152,944908,55060,45155,0,10,2021-10-24,TT
19,Maharashtra,6602961,6435439,140016,61893695.0,130732.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,1410,1520,18,718074024,305004343,779152,944908,65585574,29692247,69523,48667,2021-10-24,TT
20,Meghalaya,83371,81286,1446,1137721.0,1941.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,49,102,3,718074024,305004343,779152,944908,1095404,599881,52,123,2021-10-24,TT
21,Manipur,123292,120450,1911,1354886.0,1764.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,63,89,4,718074024,305004343,779152,944908,1241756,648136,362,2316,2021-10-24,TT
22,Madhya Pradesh,792749,782141,10523,19901016.0,118144.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,9,3,0,718074024,305004343,779152,944908,49763076,18803125,2355,28507,2021-10-24,TT
23,Mizoram,117261,108927,411,1255603.0,6037.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,572,1016,6,718074024,305004343,779152,944908,707295,500767,1,69,2021-10-24,TT
24,Nagaland,31712,29760,679,390810.0,356.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,5,12,0,718074024,305004343,779152,944908,704837,466939,175,951,2021-10-24,TT
25,Odisha,1038411,1025917,8362,21520424.0,69161.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,447,410,4,718074024,305004343,779152,944908,25004436,10643418,19476,20733,2021-10-24,TT
26,Punjab,602209,585429,16551,15208301.0,34918.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,20,22,0,718074024,305004343,779152,944908,15742469,6015684,5581,4710,2021-10-24,TT
27,Puducherry,127735,125411,1857,1897965.0,3456.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,61,49,2,718074024,305004343,779152,944908,725635,384317,314,860,2021-10-24,TT
28,Rajasthan,954402,945417,8954,14712620.0,12043.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,2,3,0,718074024,305004343,779152,944908,42273285,19232595,5413,13330,2021-10-24,TT
29,Sikkim,31900,30987,394,258496.0,496.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,32,27,0,718074024,305004343,779152,944908,520981,437465,0,1,2021-10-24,TT
30,Telangana,670274,662377,3947,27308745.0,26842.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,135,168,1,718074024,305004343,779152,944908,21425719,8810886,21845,25703,2021-10-24,TT
31,Tamil Nadu,2695216,2646163,36019,50300938.0,124177.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,1127,1358,15,718074024,305004343,779152,944908,40489703,16040544,107531,151469,2021-10-24,TT
32,Tripura,84381,83404,813,1961001.0,3214.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,8,5,0,718074024,305004343,779152,944908,2504322,1546687,117,2138,2021-10-24,TT
33,Uttar Pradesh,1710095,1687093,22899,82494486.0,174997.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,13,4,0,718074024,305004343,779152,944908,95911393,29550519,34440,24468,2021-10-24,TT
34,Uttarakhand,343821,330121,7399,7697771.0,9877.0,34189541,33559586,454743,600769717.0,14654,18608,442,998397,6,9,1,718074024,305004343,779152,944908,7452767,3639957,684,8510,2021-10-24,TT
