"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109613","147","107194","2272"
"2","SAS Nagar","95434","284","94009","1141"
"3","Jalandhar","78072","175","76324","1573"
"4","Patiala","61939","45","60438","1456"
"5","Amritsar","59314","35","57599","1680"
"6","Bathinda","50752","113","49552","1087"
"7","Hoshiarpur","40677","93","39493","1091"
"8","Gurdaspur","26881","50","25969","862"
"9","Pathankot","24425","113","23824","488"
"10","Fazilka","23292","100","22648","544"
"11","Muktsar","22513","58","21917","538"
"12","Kapurthala","21970","67","21324","579"
"13","Ropar","17898","29","17417","452"
"14","Ferozepur","17829","35","17264","530"
"15","Mansa","17220","4","16825","391"
"16","Faridkot","16688","47","16303","338"
"17","Sangrur","14301","14","13552","735"
"18","SBS Nagar","13373","10","12960","403"
"19","FG Sahib","11815","8","11453","354"
"20","Moga","10969","19","10696","254"
"21","Tarn Taran","10858","61","10404","393"
"22","Barnala","7459","35","7090","334"
"23","Malerkotla","3965","4","3785","176"
"","Total","757257","1546","738040","17671"
