"","","","","","","","","","","","reasons#"
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","106","35402","0","34866","203","0","333","0",""
"","2","Ballari","410","99525","40","96166","1670","0","1689","0",""
"","3","Belagavi","393","81982","38","79282","1751","0","949","0",""
"","4","Bengaluru Rural","503","64444","38","61483","2066","0","895","0",""
"","5","Bengaluru Urban","22284","1395736","2479","1250175","129112","5","16448","1",""
"","6","Bidar","171","25006","57","24045","553","0","404","4",""
"","7","Chamarajanagara","93","33780","26","32650","615","0","504","11",""
"","8","Chikkaballapura","311","45106","16","43641","1030","1","434","1",""
"","9","Chikkamagaluru","196","52254","19","51138","718","0","398","0",""
"","10","Chitradurga","204","37396","6","36592","592","0","212","0",""
"","11","Dakshina 
Kannada","792","120975","335","115822","3447","0","1699","7",""
"","12","Davanagere","153","51754","18","50499","647","0","608","0",""
"","13","Dharwada","648","63903","76","60656","1920","0","1325","2",""
"","14","Gadag","134","26520","14","25798","403","0","319","0",""
"","15","Hassana","968","115673","159","111392","3016","0","1263","2",""
"","16","Haveri","17","22052","1","21322","87","0","643","0",""
"","17","Kalaburagi","384","63739","52","61315","1598","0","826","0",""
"","18","Kodagu","150","38387","6","37466","582","0","338","1",""
"","19","Kolara","541","49293","92","46824","1825","0","644","0",""
"","20","Koppala","93","35468","23","34707","233","0","528","0",""
"","21","Mandya","718","77267","288","74208","2401","0","658","0",""
"","22","Mysuru","729","184952","223","178551","3967","1","2434","0",""
"","23","Raichuru","109","40537","4","39670","534","0","333","0",""
"","24","Ramanagara","122","24981","13","23945","712","0","324","0",""
"","25","Shivamogga","305","71342","60","68710","1542","0","1090","0",""
"","26","Tumakuru","1326","125514","24","120329","4040","0","1145","0",""
"","27","Udupi","607","80502","63","77132","2879","0","491","0",""
"","28","Uttara Kannada","237","58093","73","56053","1261","0","779","0",""
"","29","Vijayapura","76","36784","30","35926","362","0","496","0",""
"","30","Yadagiri","13","27637","0","27347","84","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","32793","3186040","4273","2977743","169850","7","38418","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 15-01-2022 
 Page 5 of 15","","","","","","","","","",""
"","","","","","","","","","","",""
