"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","77,607"
"2","Number of persons tested positive today in Tamil Nadu","3,967"
"","Passengers returned from other states  by road tested 
positive today","West Bengal-2 
Andhra Pradesh-1 
Jharkhand-1"
"","Total","3,971"
"3","Total Number of persons tested positive till date","34,24,476"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,10,494/ 
6,28,70,191@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,05,003/ 
6,17,28,842"
"6","No. of Male / Female / Transgender tested positive today","2,363/1,608/0"
"7","No. of Male / Female / Transgender tested positive till date","19,98,540/14,25,898/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","16,473/ 
33,09,032"
"10","Total number of deaths today/ till date","28(12 Private &  
16 Govt) /37,837"
