"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19779","18994","518","267"
"2","Chengalpattu","232725","223520","6562","2643"
"3","Chennai","744583","725262","10292","9029"
"4","Coimbatore","325210","312726","9888","2596"
"5","Cuddalore","73846","71699","1257","890"
"6","Dharmapuri","35922","34634","1005","283"
"7","Dindigul","37326","35882","782","662"
"8","Erode","131358","126559","4069","730"
"9","Kallakurichi","36393","35443","736","214"
"10","Kancheepuram","93774","90563","1913","1298"
"11","Kanyakumari","85586","81862","2641","1083"
"12","Karur","29475","28449","655","371"
"13","Krishnagiri","59222","56962","1890","370"
"14","Madurai","90701","88057","1417","1227"
"15","Mayiladuthurai","26394","25583","487","324"
"16","Nagapattinam","25236","24103","762","371"
"17","Namakkal","67294","64698","2064","532"
"18","Nilgiris","41445","40013","1207","225"
"19","Perambalur","14410","13943","219","248"
"20","Pudukottai","34247","32970","854","423"
"21","Ramanathapuram","24556","23606","584","366"
"22","Ranipet","53659","51597","1276","786"
"23","Salem","126190","120684","3756","1750"
"24","Sivagangai","23548","22763","567","218"
"25","Tenkasi","32668","31468","710","490"
"26","Thanjavur","91627","88889","1704","1034"
"27","Theni","50499","49175","792","532"
"28","Thirupathur","35649","34110","908","631"
"29","Thiruvallur","146336","141640","2773","1923"
"30","Thiruvannamalai","66450","64460","1307","683"
"31","Thiruvarur","47698","46088","1142","468"
"32","Thoothukudi","64744","63512","788","444"
"33","Tirunelveli","62480","60482","1554","444"
"34","Tiruppur","128537","121861","5630","1046"
"35","Trichy","94237","90858","2227","1152"
"36","Vellore","57024","55344","518","1162"
"37","Villupuram","54284","52737","1181","366"
"38","Virudhunagar","56592","55090","948","554"
"39","Airport Surveillance 
(International)","1240","1215","24","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,24,476","33,09,032","77,607","37,837"
