"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,268"
"2","Number of persons tested positive today in Tamil Nadu","522"
"","Passengers returned from other states  by Domestic 
airport/Road tested positive today","Rajasthan-2 
Puducherry-1"
"","Total","525"
"3","Total Number of persons tested positive till date","35,67,160"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","22,732/ 
6,88,44,227@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","22,533/ 
6,76,31,270"
"6","No. of Male / Female / Transgender tested positive today","310/215/0"
"7","No. of Male / Female / Transgender tested positive till date","20,80,230/14,86,892/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","596/ 
35,23,858"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,034"
