,Unnamed: 0,44,Unnamed: 1,हमीरपरु,Unnamed: 2,17,Unnamed: 3,34,Unnamed: 4,5711,Unnamed: 5,0,Unnamed: 6,102,Unnamed: 7,183,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मर्रु,,11.0,,30.0,,25217.0,,0.0,,406.0,,179.0,,,,,
1,,46,,गोंड,,10.0,,19.0,,13742.0,,0.0,,280.0,,175.0,,,,,
2,,47,,हापड़ु,,14.0,,71.0,,14950.0,,0.0,,222.0,,164.0,,,,,
3,,48,,क नपरु देह त,,12.0,,41.0,,6788.0,,0.0,,110.0,,160.0,,,,,
4,,49,,शामली,,21.0,,84.0,,16450.0,,0.0,,48.0,,160.0,,,,,
5,,50,,चदौली,,14.0,,8.0,,17285.0,,1.0,,374.0,,146.0,,,,,
6,,51,,फर्रख ब द,,3.0,,11.0,,11661.0,,1.0,,196.0,,145.0,,,,,
7,,52,,एट,,3.0,,43.0,,11902.0,,0.0,,100.0,,138.0,,,,,
8,,53,,कुशीनगर,,10.0,,19.0,,15958.0,,0.0,,233.0,,135.0,,,,,
9,,54,,प्रतापगढ़,,18.0,,20.0,,16426.0,,0.0,,163.0,,130.0,,,,,
10,,55,,बस्ती,,15.0,,14.0,,12575.0,,0.0,,334.0,,118.0,,,,,
11,,56,,अमठेी,,26.0,,28.0,,11160.0,,0.0,,145.0,,115.0,,,,,
12,,57,,इट व,,10.0,,25.0,,15541.0,,0.0,,295.0,,113.0,,,,,
13,,58,,बसलय,,2.0,,20.0,,22381.0,,0.0,,245.0,,100.0,,,,,
14,,59,,समर् परु,,2.0,,7.0,,11800.0,,1.0,,120.0,,100.0,,,,,
15,,60,,चचत्रकट,,8.0,,29.0,,7596.0,,0.0,,79.0,,96.0,,,,,
16,,61,,क्रिरोजाबाद,,2.0,,18.0,,10375.0,,0.0,,136.0,,96.0,,,,,
17,,62,,कौश म्बी,,10.0,,13.0,,4674.0,,0.0,,72.0,,91.0,,,,,
18,,63,,अयोध्य,,14.0,,20.0,,18454.0,,1.0,,292.0,,81.0,,,,,
19,,64,,औरैय्य,,6.0,,16.0,,10628.0,,1.0,,210.0,,80.0,,,,,
20,,65,,बागपत,,3.0,,5.0,,10890.0,,0.0,,140.0,,80.0,,,,,
21,,66,,र मपरु,,8.0,,7.0,,14475.0,,0.0,,152.0,,80.0,,,,,
22,,67,,श्र वस्ती,,14.0,,10.0,,4969.0,,0.0,,39.0,,74.0,,,,,
23,,68,,मनैपरुी,,8.0,,30.0,,11330.0,,0.0,,189.0,,73.0,,,,,
24,,69,,सत कबीर नगर,,9.0,,9.0,,8728.0,,0.0,,99.0,,72.0,,,,,
25,,70,,मऊ,,4.0,,10.0,,8830.0,,0.0,,83.0,,64.0,,,,,
26,,71,,सभल,,3.0,,11.0,,10921.0,,0.0,,108.0,,59.0,,,,,
27,,72,,महोब,,3.0,,8.0,,4348.0,,0.0,,88.0,,46.0,,,,,
28,,73,,बलर मपरु,,1.0,,8.0,,8002.0,,0.0,,139.0,,42.0,,,,,
29,,74,,ह र्रस,,0.0,,19.0,,3653.0,,0.0,,43.0,,42.0,,,,,
30,,75,,क सगज,,4.0,,4.0,,4811.0,,0.0,,54.0,,21.0,,,,,
31,,Total,,,,,,,2414.0,,3822.0,,1996865.0,,12.0,,23330.0,,26725.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23330 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
