"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
05-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181765","180763[12]","99.45","924","78","1470","5254","3907441"
"2","Faridabad","7","99969","99218[1]","99.25","717","34","1553","5579","2780208"
"3","Hisar","0","54002","52862[2]","97.89","1136","4","542","2130","1461115"
"4","Sonepat","0","47145","46889","99.46","254","2","952","2834","1568156"
"5","Karnal","1","40045","39489","98.61","552","4","419","1559","1611141"
"6","Panipat","0","31155","30515","97.95","638","2","1503","4465","1291342"
"7","Panchkula","2","30843","30448[1]","98.72","379","16","143","584","806638"
"8","Ambala","0","30152","29641","98.31","509","2","368","1491","1600398"
"9","Sirsa","3","29287","28775","98.25","508","4","674","1197","1226334"
"10","Rohtak","0","25917","25364","97.87","534","2","686","1403","1111527"
"11","Yamunanagar","0","24649","24225","98.28","414","10","167","790","1269334"
"12","Bhiwani","0","22410","21758","97.09","652","0","389","3032","1250224"
"13","Kurukshetra","0","22154","21795","98.38","357","2","195","794","952911"
"14","Mahindergarh","0","21689","21534","99.29","155","0","160","1226","947218"
"15","Jind","0","21210","20677","97.49","533","0","420","2600","1088317"
"16","Rewari","0","20329","20108","98.91","221","0","620","3748","1074178"
"17","Jhajjar","0","18850","18516","98.23","328","0","388","1162","1106164"
"18","Fatehabad","0","17880","17398","97.30","482","0","56","248","844326"
"19","Kaithal","0","11247","10900[1]","96.91","346","1","424","878","987301"
"20","Palwal","0","11028","10875","98.61","153","0","1357","1885","990263"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","232","977","678602"
"22","Nuh","0","5014","4891","97.55","123","0","3990","1026","728473"
"Total","","22","771819","761580[17]","98.67","10054","162","16708","44862","29281611"
