"Sr 
No","Name of 
District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of 
Vaccination on 
10-01-2022","","Booster/Precaution Dose","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","",""
"1","Gurugram","2621","195639","184552[933]","94.33","927[1]","10160","12857","10197","2498","4534086"
"2","Faridabad","1071","104202","99582[104]","95.57","717","3903","17442","7538","788","3355597"
"3","Hisar","64","54390","52911[23]","97.28","1138","341","5846","5725","1412","2067815"
"4","Sonepat","322","48320","47134[131]","97.55","254","932","7930","6079","399","1990862"
"5","Karnal","171","41066","39596[28]","96.42","555[1]","915","7154","6199","720","2074650"
"6","Panipat","113","31584","30561[9]","96.76","638","385","6634","6982","408","1735953"
"7","Panchkula","344","33010","31015[178]","93.96","382","1613","2938","2893","524","962428"
"8","Ambala","303","31763","29784[25]","93.77","513[2]","1466","3525","2126","555","1881677"
"9","Sirsa","34","29483","28804","97.70","509","170","5505","4237","135","1732434"
"10","Rohtak","103","26507","25380","95.75","534","576","6127","4788","430","1410931"
"11","Yamunanagar","91","25065","24312[29]","97.00","416[1]","337","6216","9542","782","1580205"
"12","Bhiwani","65","22567","21772[9]","96.48","652","143","5013","2453","292","1560930"
"13","Kurukshetra","84","22550","21906[32]","97.14","358","286","5657","3445","253","1245141"
"14","Mahindergarh","17","21757","21546[1]","99.03","156","55","3017","2514","329","1187803"
"15","Jind","39","21395","20687","96.69","533","175","5116","3474","258","1462274"
"16","Rewari","74","20597","20126","97.71","221","250","4602","2881","593","1376962"
"17","Jhajjar","98","19271","18599[40]","96.51","328","338","4985","4992","82","1370825"
"18","Fatehabad","21","17979","17411[9]","96.84","483","85","3628","3404","18","1091745"
"19","Kaithal","63","11436","10906[1]","95.37","348","182","5603","2082","287","1458785"
"20","Palwal","11","11092","10881","98.10","153","58","5453","5033","95","1264799"
"21","Charkhi Dadri","16","5124","4946","96.53","139","39","1518","1268","472","760169"
"22","Nuh","11","5090","4899","96.25","123","68","3736","3976","75","948465"
"Haryana","","5736","799887","767310[1552]","95.93","10077[5]","22477","130502","101828","11405","37054536"
