"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2052","18","1","0"
"East Jaintia Hills","0","0","0","2628","38","1","0"
"East Khasi Hills","16","11","0","47296","1075","60","9"
"Eastern West Khasi Hills","0","0","0","142","8","0","0"
"North Garo Hills","0","0","0","1883","9","2","0"
"Ri-Bhoi","4","4","0","10383","99","19","3"
"South Garo Hills","0","0","0","1344","13","1","0"
"South West Garo Hills","1","0","0","2098","20","3","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","10","0","0","10849","80","65","2"
"West Jaintia Hills","1","1","0","7200","139","5","0"
"West Khasi Hills","1","0","0","5656","76","1","0"
"Total","33","16","0","94232","1595","158","14"
