TT|2022-05-12 07:55:10.848900|GetSource|ERR|File Not Found
TT|2022-05-12 09:55:10.629032|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 09:55:45.289496|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 11:47:18.776237|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 11:47:53.369599|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 11:55:09.897418|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 11:55:43.524693|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 19:55:11.082315|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 19:55:47.345947|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 20:55:10.793002|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 20:55:55.591396|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 21:55:10.862733|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 21:55:47.585012|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 22:55:10.625858|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 22:55:47.936644|ExtractFromHTML|OK|COMPLETED
TT|2022-05-12 23:55:10.099414|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-12 23:55:47.785261|ExtractFromHTML|OK|COMPLETED
TT|2022-05-13 07:55:10.501492|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
