"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","17111","16711","135","265"
"2","Chengalpattu","188958","174700","11701","2557"
"3","Chennai","616959","561739","46515","8705"
"4","Coimbatore","259580","251862","5190","2528"
"5","Cuddalore","65573","63829","867","877"
"6","Dharmapuri","29495","28829","385","281"
"7","Dindigul","33715","32778","284","653"
"8","Erode","109451","107408","1330","713"
"9","Kallakurichi","32228","31492","526","210"
"10","Kancheepuram","79819","75486","3058","1275"
"11","Kanyakumari","65383","62391","1927","1065"
"12","Karur","25296","24686","244","366"
"13","Krishnagiri","45218","43870","986","362"
"14","Madurai","78625","74712","2721","1192"
"15","Mayiladuthurai","23713","23151","241","321"
"16","Nagapattinam","21719","21107","250","362"
"17","Namakkal","55429","54234","673","522"
"18","Nilgiris","35242","34320","702","220"
"19","Perambalur","12667","11978","444","245"
"20","Pudukottai","30603","30000","182","421"
"21","Ramanathapuram","21231","20399","472","360"
"22","Ranipet","45590","43127","1684","779"
"23","Salem","104307","101040","1535","1732"
"24","Sivagangai","20957","20395","349","213"
"25","Tenkasi","27791","26987","318","486"
"26","Thanjavur","77671","75594","1067","1010"
"27","Theni","44098","43147","427","524"
"28","Thirupathur","30187","28908","651","628"
"29","Thiruvallur","127381","119867","5641","1873"
"30","Thiruvannamalai","56641","54846","1120","675"
"31","Thiruvarur","42440","41640","337","463"
"32","Thoothukudi","58541","56592","1532","417"
"33","Tirunelveli","51769","49612","1719","438"
"34","Tiruppur","100731","97952","1750","1029"
"35","Trichy","81572","78003","2464","1105"
"36","Vellore","53062","49875","2039","1148"
"37","Villupuram","46921","45881","682","358"
"38","Virudhunagar","48096","46150","1396","550"
"39","Airport Surveillance 
(International)","1198","1141","56","1"
"40","Airport Surveillance 
(Domestic)","1104","1093","10","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","28,68,500","27,27,960","1,03,610","36,930"
