"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,03,610"
"2","Number of persons tested positive today in Tamil Nadu","20,886"
"","Passengers returned from other countries  by 
International airport tested positive today","Bangladesh - 1"
"","Passengers returned from other states / countries by 
Road tested positive today","West Bengal - 6 
Karnataka - 5 
Assam - 4 
Kerala - 3 
Bangladesh - 2 
Andhra Pradesh - 1 
Bihar - 1 
Rajasthan - 1 
Delhi - 1"
"","Total","20,911"
"3","Total Number of persons tested positive till date","28,68,500"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,56,402/ 
5,91,11,153@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,54,324/ 
5,81,63,496"
"6","No. of Male / Female / Transgender tested positive today","12,350/8,561/0"
"7","No. of Male / Female / Transgender tested positive till date","16,75,159/11,93,303/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","322 (69 Govt+ 
253$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","6,235/ 
27,27,960"
"10","Total number of deaths today/ till date","25(13 Private &  
12 Govt) /36,930"
