,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7674,7539,129,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,528702,295650,233052,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,65,2442,2507,0,3,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2070516,2053480,14421,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,56717796,33861200,22856596,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,13959,65991,79950,230,346,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55232,54904,280,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,1367685,783709,583976,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,996,2309,3305,2,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,614663,605408,6061,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,30982878,20649503,10333375,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,30634,116037,146671,250,277,5,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726162,716473,9662,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,73433284,51838880,21594404,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,101084,181282,282366,1,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65391,64542,820,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,1527875,933703,594172,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,443,2339,2782,1,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006433,992585,13590,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,23837580,15460532,8377048,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,43928,51252,95180,27,33,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,1080266,668478,411788,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,555,2643,3198,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440528,1415087,25095,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,21615091,13460159,8154932,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,24061,38403,62464,44,55,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178569,174934,3376,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,2262016,1274210,987806,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,313,1876,2189,36,29,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,827068,816687,10090,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,76028227,45263073,30765154,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,33101,234751,267852,54,16,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,771481,761283,10051,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,27280535,18153184,9127351,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,25652,59874,85526,18,17,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,226118,221102,3823,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,10171839,5765769,4406070,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,3495,49753,53248,96,34,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,334600,328630,4457,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,16045164,9564881,6480283,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,1954,23331,25285,168,197,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,349066,343792,5139,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,22538750,15829353,6709397,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,21361,32093,53454,25,23,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,2992584,2946985,38161,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,69440892,43480815,25960077,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,29483,111291,140774,308,384,8,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Karnataka,65798000
16,Kerala,5077984,4977126,36475,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,41484527,25551479,15933048,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,10596,119580,130176,6849,6046,388,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Kerala,35125000
17,Ladakh,21252,20835,211,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,373076,210475,162601,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,76,666,742,23,14,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,10366,10314,51,2021-11-18,TT,34478517,464623,33885132,2021-11-18 09:37:22.514944,628248841,2021-11-17 00:00:00,1232505,1148786886,760532284,388254602,103477,55332,48145,https://www.icmr.gov.in/,11919,470,11242,2753137,1121413,3874550,0,66,66,1,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.142857143,1340163.857142857,16386.14285714286,0,0,0,,,1332900000,Lakshadweep,68000
