"S. No","Subject","Number"
"1","Total Number of people vaccinated on 9th Aug","97,755"
"2","First Dose on 9th Aug","87,780"
"3","Second Dose on 9th Aug","9,975"
"4","Cumulative Vaccination till 9th Aug","3,20,37,890"
"5","Cumulative Vaccination First Dose","2,29,57,829"
"6","Cumulative Vaccination Second Dose","90,80,061"
"7","Number of CVC (Common Vaccination Centres)","702"
"8","Cumulative AEFI cases reported","2,475"
"9","Vaccine wastage","-7%"
