"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,911"
"2","Number of persons tested positive today in Tamil Nadu","936"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia-4"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Rajasthan-1"
"","Total","941"
"3","Total Number of persons tested positive till date","35,54,611"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","23,565/ 
6,84,00,044@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","23,086/ 
6,71,92,483"
"6","No. of Male / Female / Transgender tested positive today","568/373/0"
"7","No. of Male / Female / Transgender tested positive till date","20,72,728/14,81,845/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (77 Govt+ 
270$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,438/ 
35,07,667"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
