"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20163","19853","43","267"
"2","Chengalpattu","250192","246864","670","2658"
"3","Chennai","784952","772639","3244","9069"
"4","Coimbatore","337052","333566","868","2618"
"5","Cuddalore","75309","74245","169","895"
"6","Dharmapuri","36604","36258","63","283"
"7","Dindigul","38492","37674","153","665"
"8","Erode","134726","133619","373","734"
"9","Kallakurichi","36865","36637","13","215"
"10","Kancheepuram","97486","96100","84","1302"
"11","Kanyakumari","88849","87546","218","1085"
"12","Karur","30068","29664","32","372"
"13","Krishnagiri","60984","60320","293","371"
"14","Madurai","92630","91290","104","1236"
"15","Mayiladuthurai","27035","26587","118","330"
"16","Nagapattinam","25811","25399","37","375"
"17","Namakkal","69147","68467","146","534"
"18","Nilgiris","42658","42382","50","226"
"19","Perambalur","14859","14571","39","249"
"20","Pudukottai","35072","34597","49","426"
"21","Ramanathapuram","24958","24576","14","368"
"22","Ranipet","55699","54780","132","787"
"23","Salem","130085","127916","407","1762"
"24","Sivagangai","24805","24468","118","219"
"25","Tenkasi","33713","33120","103","490"
"26","Thanjavur","93170","92036","94","1040"
"27","Theni","51685","51006","146","533"
"28","Thirupathur","35921","35269","19","633"
"29","Thiruvallur","152428","150412","76","1940"
"30","Thiruvannamalai","67916","67204","27","685"
"31","Thiruvarur","48766","48199","94","473"
"32","Thoothukudi","66903","66369","86","448"
"33","Tirunelveli","65389","64757","187","445"
"34","Tiruppur","131131","129930","149","1052"
"35","Trichy","97368","96032","175","1161"
"36","Vellore","57853","56641","49","1163"
"37","Villupuram","55879","55394","118","367"
"38","Virudhunagar","59023","58329","139","555"
"39","Airport Surveillance 
(International)","1385","1376","8","1"
"40","Airport Surveillance 
(Domestic)","1152","1147","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,54,611","35,07,667","8,911","38,033"
