"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2084","20","1","0"
"East Jaintia Hills","0","0","0","2677","39","2","0"
"East Khasi Hills","0","5","0","47869","1079","22","14"
"Eastern West Khasi Hills","0","0","0","161","9","0","0"
"North Garo Hills","0","0","0","1920","10","2","0"
"Ri-Bhoi","1","4","0","10581","101","8","1"
"South Garo Hills","0","0","0","1441","16","0","0"
"South West Garo Hills","0","0","0","2265","21","5","0"
"South West Khasi Hills","0","0","0","2720","20","1","0"
"West Garo Hills","2","7","0","11846","84","27","1"
"West Jaintia Hills","0","0","0","7326","142","3","0"
"West Khasi Hills","0","0","0","5671","78","1","1"
"Total","3","16","0","96561","1619","72","17"
