"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 10-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","65","229","299601","298349 [56] ↑","99.58%","1023","110","233","1575","5692703"
"2","Faridabad","8","72","135518","134705 [18] ↑","99.40%","741","38","95","414","4173581"
"3  Hisar","","1","24","63797","62592 [5] ↑","98.11%","1181 [1] ↑","12","22","156","2428932"
"4","Sonipat","0","23","59560","59261 [1] ↑","99.50%","276","15","115","176","2353851"
"5","Karnal","3","15","49846","49231 [3] ↑","98.77%","600","15","100","167","2460345"
"6","Panchkula","8","46","48278","47812 [2] ↑","99.03%","420","10","31","61","1176179"
"7","Ambala","2","42","42772","42188 [2] ↑","98.63%","542","29","73","367","2204069"
"8","Panipat","0","22","36729","36030","98.10%","677","27","87","250","2127008"
"9","Sirsa","7","12","34180","33622 [9] ↑","98.37%","546","5","45","15","1985044"
"10  Rohtak","","3","30","33133","32549 [6] ↑","98.24%","537","3","39","310","1808450"
"","11  Yamunanagar","2","22","32577","32097 [3] ↑","98.53%","458","8","707","74","2034302"
"12  Kurukshetra","","0","11","27780","27363","98.50%","406","21","47","168","1622536"
"13  Bhiwani","","4","16","27133","26450 [4] ↑","97.48%","667","2","28","181","1876425"
"14","Jind","3","10","25384","24832 [1] ↑","97.83%","542","32","100","476","1775332"
"","15  Mahendragarh","0","0","24994","24829","99.34%","165","2","25","63","1441739"
"16  Rewari","","0","9","24974","24741 [3] ↑","99.07%","224","33","94","150","1623945"
"17","Jhajjar","0","5","24077","23713","98.49%","353","3","28","205","1630793"
"18  Fatehabad","","0","5","20286","19781","97.51%","500","7","21","14","1211875"
"19  Kaithal","","0","13","15179","14791 [4] ↑","97.44%","375","6","24","653","1884606"
"20  Palwal","","1","5","13654","13475","98.69%","174","8","24","70","1575608"
"","21  Charkhi Dadri","9","27","8041","7867 [5] ↑","97.84%","147","3","1","235","950181"
"22  Nuh","","0","5","6173","6029","97.67%","139","2","9","1","1227124"
"HARYANA","","116","643","1053666","","1042307 [122] ↑  98.92%  10693 [1] ↑","","391","1948","5781","45264628"
