"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1035","110811","849","108338","16","2295","178"
"2","SAS Nagar","1681","97370","1363","95896","9","1157","317"
"3","Jalandhar","500","78765","390","77090","3","1581","94"
"4","Patiala","643","62658","532","61104","1","1458","96"
"5","Amritsar","305","59702","242","57950","2","1684","68"
"6","Bathinda","373","51240","275","50053","0","1088","99"
"7","Hoshiarpur","163","41001","147","39879","1","1097","25"
"8","Gurdaspur","90","27025","66","26139","1","865","21"
"9","Pathankot","177","24697","124","24157","0","495","45"
"10","Fazilka","130","23524","109","22948","0","545","31"
"11","Muktsar","54","22606","45","22055","0","539","12"
"12","Kapurthala","130","22160","100","21552","1","583","25"
"13","Ropar","180","18118","113","17596","1","456","66"
"14","Ferozepur","113","18012","92","17452","1","538","22"
"15","Mansa","79","17304","59","16895","1","393","16"
"16","Faridkot","149","16932","136","16577","1","339","16"
"17","Sangrur","59","14368","39","13612","0","735","21"
"18","SBS Nagar","85","13487","62","13050","0","409","28"
"19","FG Sahib","177","12010","124","11604","0","354","52"
"20","Moga","36","11023","30","10761","2","256","6"
"21","Tarn Taran","30","10926","23","10528","0","394","4"
"22","Barnala","52","7549","43","7186","0","349","14"
"23","Malerkotla","17","3985","14","3805","0","176","4"
"","Total","6258","765273","4977","746227","40","17786","1260"
