"S. No","Subject","Number"
"1","Total Number of people vaccinated on 10th Sep","4,99,781"
"2","First Dose on 10th Sep","3,39,129"
"3","Second Dose on 10th Sep","1,60,652"
"4","Cumulative Vaccination till 10th Sep","4,57,57,705"
"5","Cumulative Vaccination First Dose","3,27,60,573"
"6","Cumulative Vaccination Second Dose","1,29,97,132"
"7","Number of CVC (Common Vaccination Centres)","2,816"
"8","Cumulative AEFI cases reported","3,848"
"9","Vaccine wastage","-7%"
