"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","21062","20583","479","64"
"Kollam","31464","30965","499","80"
"Pathanamthitta","29225","28884","341","337"
"Alappuzha","8874","8700","174","26"
"Kottayam","19380","18898","482","0"
"Idukki","9681","9429","252","21"
"Ernakulam","21943","21203","740","28"
"Thrissur","16009","15631","378","65"
"Palakkad","25934","25738","196","17"
"Malappuram","17555","17331","224","13"
"Kozhikode","13824","13176","648","38"
"Wayanad","3393","3256","137","32"
"Kannur","7157","6791","366","27"
"Kasaragod","6551","6302","249","17"
"Total","232052","226887","5165","765"
