"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1562","1956","17410"
"Kollam","990","3182","8558"
"Pathanamthitta","555","605","4482"
"Alappuzha","578","1577","6810"
"Kottayam","1062","2713","12199"
"Idukki","710","1220","7707"
"Ernakulam","2944","3514","18184"
"Thrissur","828","1402","9996"
"Palakkad","438","1115","4226"
"Malappuram","419","1300","7345"
"Kozhikode","934","1563","7875"
"Wayanad","495","511","3888"
"Kannur","444","966","3854"
"Kasaragod","264","282","1264"
"Total","12223","21906","113798"
