"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87645","21","85516","2108"
"2","SAS Nagar","68895","47","67778","1070"
"3","Jalandhar","63460","40","61923","1497"
"4","Patiala","48944","10","47576","1358"
"5","Amritsar","47414","8","45808","1598"
"6","Bathinda","41765","26","40696","1043"
"7","Hoshiarpur","30871","30","29852","989"
"8","Gurdaspur","22393","9","21583","801"
"9","Fazilka","20279","5","19745","529"
"10","Pathankot","18878","43","18412","423"
"11","Muktsar","18784","1","18259","524"
"12","Kapurthala","17864","10","17298","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14378","23","13851","504"
"16","Faridkot","13938","8","13613","317"
"17","Ropar","12976","4","12548","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8888","4","8548","336"
"20","Moga","8681","4","8444","233"
"21","Tarn Taran","8051","2","7669","380"
"22","Barnala","5954","8","5702","244"
"","Total","602906","308","586021","16577"
