"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","87","138","858"
"Kollam","58","38","111"
"Pathanamthitta","50","47","159"
"Alappuzha","24","6","60"
"Kottayam","76","75","881"
"Idukki","64","67","537"
"Ernakulam","146","103","1339"
"Thrissur","38","39","415"
"Palakkad","15","20","30"
"Malappuram","27","21","248"
"Kozhikode","62","99","434"
"Wayanad","23","31","195"
"Kannur","26","44","58"
"Kasaragod","6","2","28"
"Total","702","730","5353"
