"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","66","63","474"
"Kollam","40","11","118"
"Pathanamthitta","23","64","92"
"Alappuzha","11","22","121"
"Kottayam","50","74","517"
"Idukki","21","61","227"
"Ernakulam","89","159","867"
"Thrissur","34","53","170"
"Palakkad","8","3","43"
"Malappuram","16","14","153"
"Kozhikode","39","61","251"
"Wayanad","9","14","82"
"Kannur","21","17","33"
"Kasaragod","2","4","23"
"Total","429","620","3171"
