"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3080","113556","3036","110525","38","3017","14"
"2","SAS Nagar","5365","101054","5329","99862","20","1168","24"
"3","Jalandhar","2819","81084","2748","79086","42","1982","16"
"4","Patiala","2134","64214","2098","62481","11","1722","11"
"5","Amritsar","1403","60958","1387","59095","6","1846","17"
"6","Bathinda","1574","52441","1562","51005","5","1428","8"
"7","Hoshiarpur","1307","42416","1254","40986","19","1419","11"
"8","Gurdaspur","348","27275","329","26402","7","871","2"
"9","Pathankot","516","25018","480","24495","4","521","2"
"10","Fazilka","547","23979","526","23329","0","621","29"
"11","Muktsar","282","22834","281","22291","3","542","1"
"12","Kapurthala","550","22579","534","21975","9","601","3"
"13","Ropar","1140","19078","1133","18616","4","459","3"
"14","Ferozepur","474","18367","463","17823","3","540","4"
"15","Mansa","194","17419","188","17024","1","392","3"
"16","Faridkot","380","17216","380","16801","3","414","1"
"17","Sangrur","276","14710","267","13840","9","869","1"
"18","SBS Nagar","465","13867","470","13458","0","409","0"
"19","FG Sahib","720","12635","713","12193","1","437","5"
"20","Moga","248","11247","242","10973","6","272","2"
"21","Tarn Taran","153","11053","145","10650","1","399","4"
"22","Barnala","217","7717","213","7351","7","364","2"
"23","Malerkotla","61","4064","58","3849","4","215","0"
"","Total","24253","784781","23836","764110","203","20508","163"
