"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109778","15","107484","2279"
"2","SAS Nagar","95690","12","94530","1148"
"3","Jalandhar","78285","11","76696","1578"
"4","Patiala","62035","5","60572","1458"
"5","Amritsar","59395","7","57706","1682"
"6","Bathinda","50870","4","49778","1088"
"7","Hoshiarpur","40836","11","39729","1096"
"8","Gurdaspur","26939","2","26073","864"
"9","Pathankot","24538","15","24028","495"
"10","Fazilka","23398","14","22839","545"
"11","Muktsar","22555","7","22009","539"
"12","Kapurthala","22032","2","21451","579"
"13","Ropar","17938","2","17481","455"
"14","Ferozepur","17898","1","17360","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16785","8","16439","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13401","7","12987","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","2","10731","254"
"21","Tarn Taran","10899","3","10502","394"
"22","Barnala","7498","7","7143","348"
"23","Malerkotla","3967","0","3791","176"
"","Total","759094","135","741218","17741"
