TT|2022-07-07 07:55:11.539155|GetSource|ERR|File Not Found
TT|2022-07-07 09:55:10.544576|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 09:55:23.746381|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 11:55:12.587397|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 11:55:27.931521|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 19:55:11.784046|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 19:55:27.267708|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 20:55:11.146963|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 20:55:37.514191|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 21:55:11.278255|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 21:55:31.812793|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 22:55:12.278650|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 22:55:40.753203|ExtractFromHTML|OK|COMPLETED
TT|2022-07-07 23:55:12.848132|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-07 23:55:44.233027|ExtractFromHTML|OK|COMPLETED
TT|2022-07-08 07:55:10.909970|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-08 09:55:11.946073|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
