"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","82","358","63763","4","4527","68284","47"
"Bageshwar","82","82","34479","0","2088","36563","29"
"Chamoli","121","97","47505","0","3200","50703","57"
"Champawat","91","122","61439","0","1911","63347","17"
"Dehradun","454","409","364944","10","33085","397894","127"
"Haridwar","124","228","305266","4","13120","318356","36"
"Nainital","247","272","82480","4","11347","93757","24"
"Pauri Garhwal","51","54","92979","0","5273","98245","9"
"Pithoragarh","29","10","40326","0","2559","42873","51"
"Rudraprayag","17","13","26861","1","2703","29564","46"
"Tehri Garhwal","146","133","35168","0","2358","37519","39"
"US Nagar","590","172","134297","1","8798","143071","79"
"Uttarkashi","95","296","38188","0","1642","39828","47"
"Total","2129","2246","1327695","24","92611","1420004","608"
