,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316690,14730,2304887,33505128
1,Anakapalli,0,0,0,0,2316690,14730,2304887,33505128
2,Anantapur,177611,0,0,0,2316690,14730,2304887,33505128
3,Annamayya,0,0,0,0,2316690,14730,2304887,33505128
4,Bapatla,0,0,0,0,2316690,14730,2304887,33505128
5,Chittoor,272394,0,0,0,2316690,14730,2304887,33505128
6,East Godavari,316587,0,0,0,2316690,14730,2304887,33505128
7,Eluru,0,0,0,0,2316690,14730,2304887,33505128
8,Guntur,203246,0,0,0,2316690,14730,2304887,33505128
9,Kakinada,2,0,0,0,2316690,14730,2304887,33505128
10,Konaseema,0,0,0,0,2316690,14730,2304887,33505128
11,Krishna,136896,0,0,0,2316690,14730,2304887,33505128
12,Kurnool,144244,0,0,0,2316690,14730,2304887,33505128
13,Nandyal,0,0,0,0,2316690,14730,2304887,33505128
14,NTR District,0,0,0,0,2316690,14730,2304887,33505128
15,Palnadu,0,0,0,0,2316690,14730,2304887,33505128
16,Parvathipuram Manyam,0,0,0,0,2316690,14730,2304887,33505128
17,Prakasam,155937,0,0,0,2316690,14730,2304887,33505128
18,S.P.S. Nellore,164375,0,0,0,2316690,14730,2304887,33505128
19,Sri Sathya Sai,0,0,0,0,2316690,14730,2304887,33505128
20,Srikakulam,133952,0,0,0,2316690,14730,2304887,33505128
21,Tirupati,0,0,0,0,2316690,14730,2304887,33505128
22,Visakhapatnam,190939,0,0,0,2316690,14730,2304887,33505128
23,Vizianagaram,92241,0,0,0,2316690,14730,2304887,33505128
24,West Godavari,193378,0,0,0,2316690,14730,2304887,33505128
25,Y.S.R. Kadapa,134888,0,0,0,2316690,14730,2304887,33505128
