,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316695,14730,2304894,33511274
1,Anakapalli,0,0,0,0,2316695,14730,2304894,33511274
2,Anantapur,177611,0,0,0,2316695,14730,2304894,33511274
3,Annamayya,0,0,0,0,2316695,14730,2304894,33511274
4,Bapatla,0,0,0,0,2316695,14730,2304894,33511274
5,Chittoor,272394,0,0,0,2316695,14730,2304894,33511274
6,East Godavari,316587,0,0,0,2316695,14730,2304894,33511274
7,Eluru,0,0,0,0,2316695,14730,2304894,33511274
8,Guntur,203246,0,0,0,2316695,14730,2304894,33511274
9,Kakinada,3,0,0,0,2316695,14730,2304894,33511274
10,Konaseema,0,0,0,0,2316695,14730,2304894,33511274
11,Krishna,136896,0,0,0,2316695,14730,2304894,33511274
12,Kurnool,144244,0,0,0,2316695,14730,2304894,33511274
13,Nandyal,0,0,0,0,2316695,14730,2304894,33511274
14,NTR District,2,0,0,0,2316695,14730,2304894,33511274
15,Palnadu,0,0,0,0,2316695,14730,2304894,33511274
16,Parvathipuram Manyam,0,0,0,0,2316695,14730,2304894,33511274
17,Prakasam,155938,0,0,0,2316695,14730,2304894,33511274
18,S.P.S. Nellore,164375,0,0,0,2316695,14730,2304894,33511274
19,Sri Sathya Sai,0,0,0,0,2316695,14730,2304894,33511274
20,Srikakulam,133952,0,0,0,2316695,14730,2304894,33511274
21,Tirupati,0,0,0,0,2316695,14730,2304894,33511274
22,Visakhapatnam,190940,0,0,0,2316695,14730,2304894,33511274
23,Vizianagaram,92241,0,0,0,2316695,14730,2304894,33511274
24,West Godavari,193378,0,0,0,2316695,14730,2304894,33511274
25,Y.S.R. Kadapa,134888,0,0,0,2316695,14730,2304894,33511274
