"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","5701","2175","44435"
"Kollam","3828","3900","31425"
"Pathanamthitta","2475","1810","15380"
"Alappuzha","2939","2406","20026"
"Kottayam","4192","3043","28330"
"Idukki","1757","1267","18270"
"Ernakulam","11224","11021","71599"
"Thrissur","4843","2010","40068"
"Palakkad","2598","3504","23428"
"Malappuram","3268","2095","23422"
"Kozhikode","4602","4114","31128"
"Wayanad","1602","1100","10611"
"Kannur","2295","2333","14399"
"Kasaragod","875","937","5302"
"Total","52199","41715","377823"
