"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","81","40283","73","38745","1186","2","352","0"
"2","Ballari","249","114060","789","109014","3316","7","1728","2"
"3","Belagavi","221","97633","568","89047","7599","2","987","0"
"4","Bengaluru Rural","92","78901","199","76651","1345","1","905","0"
"5","Bengaluru Urban","3822","1757458","9893","1701127","39654","17","16676","1"
"6","Bidar","75","29559","97","28567","576","0","412","4"
"7","Chamarajanagara","161","42852","356","40574","1750","0","517","11"
"8","Chikkaballapura","100","55083","492","53412","1216","0","454","1"
"9","Chikkamagaluru","87","56773","200","55596","775","0","402","0"
"10","Chitradurga","183","45184","259","43000","1960","1","224","0"
"11","Dakshina 
Kannada","163","134322","366","130559","1969","5","1786","8"
"12","Davanagere","56","57245","164","55721","907","0","617","0"
"13","Dharwada","211","82982","1046","79308","2333","1","1339","2"
"14","Gadag","50","30309","105","29308","669","1","332","0"
"15","Hassana","276","142775","665","138913","2566","0","1294","2"
"16","Haveri","88","26379","134","24606","1114","1","659","0"
"17","Kalaburagi","195","75819","461","72174","2774","2","871","0"
"18","Kodagu","219","48002","262","45333","2324","0","344","1"
"19","Kolara","114","62533","169","60725","1154","0","654","0"
"20","Koppala","99","40858","253","39350","974","0","534","0"
"21","Mandya","241","100593","214","97718","2184","0","691","0"
"22","Mysuru","582","226951","515","219483","4939","3","2529","0"
"23","Raichuru","34","45082","195","43899","830","1","353","0"
"24","Ramanagara","45","29474","108","28767","364","0","343","0"
"25","Shivamogga","183","81835","219","77532","3182","0","1120","1"
"26","Tumakuru","318","157792","1097","152169","4440","1","1183","0"
"27","Udupi","175","94681","378","92200","1957","2","524","0"
"28","Uttara Kannada","141","70465","238","67479","2186","0","800","0"
"29","Vijayapura","135","40439","167","39062","872","0","505","0"
"30","Yadagiri","29","29800","118","28925","666","0","209","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","8425","3896158","19800","3758997","97781","47","39347","33"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 06-02-2022 
 Page 5 of 44","","","","","","","","",""
