"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","0","40307","4","0","367","0"
"2","Ballari","3","115505","1","113712","30","0","1761","2"
"3","Belagavi","0","100111","3","99060","48","0","1001","2"
"4","Bengaluru Rural","0","79272","3","78353","13","0","906","0"
"5","Bengaluru Urban","61","1780397","229","1761500","1954","0","16942","1"
"6","Bidar","0","29804","1","29380","0","0","420","4"
"7","Chamarajanagara","0","43614","1","43074","5","0","524","11"
"8","Chikkaballapura","0","55614","0","55142","12","0","459","1"
"9","Chikkamagaluru","1","57236","2","56822","8","0","406","0"
"10","Chitradurga","6","46271","3","45969","63","0","239","0"
"11","Dakshina 
Kannada","4","135452","5","133582","21","1","1839","10"
"12","Davanagere","0","57534","1","56905","6","0","623","0"
"13","Dharwad**","0","84055","1","82659","9","0","1382","5"
"14","Gadag","0","30583","1","30248","0","0","335","0"
"15","Hassana","0","143855","3","142540","8","0","1305","2"
"16","Haveri","1","26836","3","26166","2","0","668","0"
"17","Kalaburagi","1","76592","3","75685","27","1","880","0"
"18","Kodagu","3","49259","5","48892","14","0","352","1"
"19","Kolara","1","62979","1","62303","12","0","664","0"
"20","Koppala","0","41281","0","40741","2","0","538","0"
"21","Mandya","0","101477","5","100763","3","1","711","0"
"22","Mysuru","11","229416","20","226815","44","0","2557","0"
"23","Raichuru","0","45446","0","45075","7","0","364","0"
"24","Ramanagara","1","29785","3","29418","20","0","347","0"
"25","Shivamogga","8","83312","22","82131","52","0","1128","1"
"26","Tumakuru","4","159815","12","158569","30","0","1216","0"
"27","Udupi","0","95588","3","95040","2","0","546","0"
"28","Uttara Kannada","0","71154","2","70334","11","0","809","0"
"29","Vijayapura","1","40994","2","40472","4","1","518","0"
"30","Yadagiri","0","29961","2","29740","9","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","106","3943912","337","3901430","2420","4","40022","40"
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today 
** Non-COVID-19 Death reported from Dhaward District (RTA) 
 
 
Date: 14-03-2022 
Page 5 of 8","","","","","","","","",""
