"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87626","18","85501","2107"
"2","SAS Nagar","68860","42","67749","1069"
"3","Jalandhar","63424","37","61891","1496"
"4","Patiala","48935","8","47569","1358"
"5","Amritsar","47402","13","45791","1598"
"6","Bathinda","41740","15","40683","1042"
"7","Hoshiarpur","30837","12","29839","986"
"8","Gurdaspur","22385","4","21580","801"
"9","Fazilka","20277","6","19742","529"
"10","Pathankot","18828","13","18393","422"
"11","Muktsar","18784","1","18259","524"
"12","Kapurthala","17855","4","17295","556"
"13","Sangrur","15768","7","14886","875"
"14","Mansa","15607","1","15226","380"
"15","Ferozepur","14356","12","13840","504"
"16","Faridkot","13929","2","13612","315"
"17","Ropar","12971","9","12538","424"
"18","SBS Nagar","11472","2","11082","388"
"19","FG Sahib","8883","7","8541","335"
"20","Moga","8677","2","8442","233"
"21","Tarn Taran","8049","6","7663","380"
"22","Barnala","5951","8","5699","244"
"","Total","602616","229","585821","16566"
