"S. No","Subject","Number"
"1","Samples Tested on 5th Mar","23,276"
"2","Total Number of Samples Tested till 5th Mar","2,43,31,182"
"3","Positivity Rate as on 5th Mar","0.44%"
"4","Tests per Million population","2,70,346"
"5","Total Testing Laboratories*","163"
"6","RT-PCR/Antigen Test Ratio","50:50"
