"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","51,335"
"2","Number of persons tested positive today in Tamil Nadu","12,843"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 8 
Oman - 1 
Sri Lanka - 1 
UK - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra - 1"
"","Passengers returned from other Countries/ states by 
Road tested positive today","Bangladesh - 23 
West Bengal - 6 
Jharkhand - 5 
Kerala - 3 
Andhra Pradesh - 2 
Delhi - 1"
"","Total","12,895"
"3","Total Number of persons tested positive till date","28,00,286"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,48,308/ 
5,85,27,532@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,47,705/ 
5,75,85,162"
"6","No. of Male / Female / Transgender tested positive today","7,558/5,337/0"
"7","No. of Male / Female / Transgender tested positive till date","16,34,691/11,65,557/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,808/ 
27,12,096"
"10","Total number of deaths today/ till date","12(4 Private &  
8 Govt) /36,855"
