"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87636","25","85503","2108"
"2","SAS Nagar","68874","49","67755","1070"
"3","Jalandhar","63437","44","61897","1496"
"4","Patiala","48942","14","47570","1358"
"5","Amritsar","47403","7","45798","1598"
"6","Bathinda","41746","17","40687","1042"
"7","Hoshiarpur","30854","23","29843","988"
"8","Gurdaspur","22388","7","21580","801"
"9","Fazilka","20278","6","19743","529"
"10","Pathankot","18851","29","18399","423"
"11","Muktsar","18785","2","18259","524"
"12","Kapurthala","17858","5","17297","556"
"13","Sangrur","15768","5","14888","875"
"14","Mansa","15608","2","15226","380"
"15","Ferozepur","14362","15","13843","504"
"16","Faridkot","13934","7","13612","315"
"17","Ropar","12973","8","12541","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8884","7","8542","335"
"20","Moga","8677","0","8444","233"
"21","Tarn Taran","8049","6","7663","380"
"22","Barnala","5954","8","5702","244"
"","Total","602733","286","585876","16571"
