"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20101","19785","49","267"
"2","Chengalpattu","249076","245110","1308","2658"
"3","Chennai","782297","768948","4280","9069"
"4","Coimbatore","335746","331944","1184","2618"
"5","Cuddalore","75094","73984","215","895"
"6","Dharmapuri","36509","36138","88","283"
"7","Dindigul","38275","37373","237","665"
"8","Erode","134139","132984","421","734"
"9","Kallakurichi","36827","36593","19","215"
"10","Kancheepuram","97238","95793","143","1302"
"11","Kanyakumari","88602","87252","265","1085"
"12","Karur","30014","29588","54","372"
"13","Krishnagiri","60561","59909","282","370"
"14","Madurai","92441","90984","221","1236"
"15","Mayiladuthurai","26904","26467","107","330"
"16","Nagapattinam","25753","25335","43","375"
"17","Namakkal","68897","68154","209","534"
"18","Nilgiris","42587","42293","68","226"
"19","Perambalur","14837","14542","46","249"
"20","Pudukottai","34997","34457","114","426"
"21","Ramanathapuram","24947","24553","26","368"
"22","Ranipet","55389","54379","223","787"
"23","Salem","129476","127235","479","1762"
"24","Sivagangai","24636","24256","161","219"
"25","Tenkasi","33555","32928","137","490"
"26","Thanjavur","93033","91802","191","1040"
"27","Theni","51461","50617","311","533"
"28","Thirupathur","35897","35232","32","633"
"29","Thiruvallur","152078","149981","157","1940"
"30","Thiruvannamalai","67764","67001","78","685"
"31","Thiruvarur","48623","47999","151","473"
"32","Thoothukudi","66749","66096","205","448"
"33","Tirunelveli","65127","64382","300","445"
"34","Tiruppur","130875","129613","210","1052"
"35","Trichy","97102","95719","222","1161"
"36","Vellore","57788","56544","81","1163"
"37","Villupuram","55655","55091","197","367"
"38","Virudhunagar","58776","57647","574","555"
"39","Airport Surveillance 
(International)","1377","1372","4","1"
"40","Airport Surveillance 
(Domestic)","1148","1145","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,42,779","34,91,653","13,094","38,032"
