"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3018","113494","2922","110411","37","3016","67"
"2","SAS Nagar","5222","100911","5126","99659","20","1168","84"
"3","Jalandhar","2748","81013","2668","79006","38","1978","29"
"4","Patiala","2078","64158","2036","62419","11","1722","17"
"5","Amritsar","1360","60915","1342","59050","6","1846","19"
"6","Bathinda","1524","52391","1461","50904","4","1427","60"
"7","Hoshiarpur","1266","42375","1219","40951","17","1417","7"
"8","Gurdaspur","340","27267","314","26387","6","870","10"
"9","Pathankot","505","25007","459","24474","4","521","12"
"10","Fazilka","460","23892","460","23263","0","621","8"
"11","Muktsar","272","22824","260","22270","3","542","12"
"12","Kapurthala","538","22567","520","21961","7","599","7"
"13","Ropar","1105","19043","1076","18559","4","459","25"
"14","Ferozepur","460","18353","447","17807","3","540","6"
"15","Mansa","189","17414","184","17020","1","392","2"
"16","Faridkot","377","17213","377","16798","3","414","1"
"17","Sangrur","275","14709","264","13837","9","869","3"
"18","SBS Nagar","447","13849","451","13439","0","409","1"
"19","FG Sahib","696","12611","681","12161","1","437","13"
"20","Moga","238","11237","232","10963","6","272","2"
"21","Tarn Taran","144","11044","135","10640","1","399","5"
"22","Barnala","207","7707","204","7342","6","363","2"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23529","784057","22896","763170","190","20495","392"
