District,Recovered,Deceased,Active
गौतम बिु नगर,98070,490,75
लखनऊ,293967,2694,38
अमठेी,11492,145,23
बाराबकंी,23683,225,19
गाज़ियाबाद,84393,473,19
सलु्तानपरु,16849,144,17
लखीमपरु-खीरी,30010,299,14
अम्बडेकर नगर,5950,167,11
अमरोहा,19286,207,10
फरु्रखाबाद,11877,197,10
हरदोई,17270,370,10
कुशीनगर,16227,235,10
मरेठ,88069,931,9
गोंडा,14131,285,7
लललतपरु,14747,134,7
राय बरेली,21323,348,6
इटावा,15775,296,5
गोरखपरु,65953,866,5
मनैपरुी,11478,189,5
प्रयागराज,87356,1113,5
आगरा,35706,465,4
जालौन,13853,209,4
कानपरु नगर,91509,1923,4
महाराजगजं,14710,146,4
िाराणसी,97565,988,4
बलरामपरु,8118,139,3
बबजनौर,18286,139,3
चित्रकूट,7764,79,3
जौनपरु,24371,244,3
मथरुा,25587,406,3
लसद्धाथ ुनगर,11524,102,3
सीतापरु,15759,187,3
उन्नाव,16908,257,3
बहराइि,13411,178,2
बलुदंशहर,26331,253,2
झासी,43888,675,2
कन्नौज,10827,126,2
मरुादाबाद,46071,368,2
सहारनपरु,38370,428,2
श्रावस्ती,5233,42,2
औरैय्या,10785,211,1
आजमगढ़,19438,235,1
बागपत,11062,143,1
