,Unnamed: 0,44,Unnamed: 1,हमीरपरु,Unnamed: 2,16,Unnamed: 3,39,Unnamed: 4,5836,Unnamed: 5,0,Unnamed: 6,102,Unnamed: 7,100,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,क नपरु देह त,,8.0,,31.0,,6898.0,,0.0,,110.0,,100.0,,,,,
1,,46,,श्र वस्ती,,18.0,,24.0,,5013.0,,0.0,,39.0,,100.0,,,,,
2,,47,,हापड़ु,,5.0,,9.0,,15052.0,,0.0,,222.0,,98.0,,,,,
3,,48,,प्रतापगढ़,,15.0,,16.0,,16509.0,,0.0,,163.0,,98.0,,,,,
4,,49,,बस्ती,,12.0,,14.0,,12639.0,,1.0,,336.0,,96.0,,,,,
5,,50,,कुशीनगर,,11.0,,17.0,,16041.0,,1.0,,235.0,,94.0,,,,,
6,,51,,शामली,,5.0,,20.0,,16557.0,,0.0,,48.0,,90.0,,,,,
7,,52,,बबजनौर,,4.0,,12.0,,18131.0,,0.0,,139.0,,84.0,,,,,
8,,53,,ब द,,14.0,,25.0,,11872.0,,0.0,,163.0,,83.0,,,,,
9,,54,,सहारनपरु,,15.0,,11.0,,38204.0,,0.0,,425.0,,83.0,,,,,
10,,55,,अयोध्य,,9.0,,9.0,,18507.0,,0.0,,292.0,,72.0,,,,,
11,,56,,चदौली,,14.0,,38.0,,17400.0,,0.0,,376.0,,72.0,,,,,
12,,57,,इट व,,7.0,,8.0,,15627.0,,0.0,,296.0,,71.0,,,,,
13,,58,,फर्रख ब द,,6.0,,24.0,,11764.0,,0.0,,197.0,,69.0,,,,,
14,,59,,कौश म्बी,,10.0,,7.0,,4732.0,,0.0,,72.0,,67.0,,,,,
15,,60,,र मपरु,,10.0,,5.0,,14526.0,,0.0,,152.0,,61.0,,,,,
16,,61,,औरैय्य,,9.0,,5.0,,10693.0,,0.0,,210.0,,48.0,,,,,
17,,62,,चचत्रकट,,3.0,,8.0,,7664.0,,0.0,,79.0,,46.0,,,,,
18,,63,,लमर् परु,,8.0,,16.0,,11881.0,,0.0,,121.0,,45.0,,,,,
19,,64,,महोब,,4.0,,12.0,,4381.0,,0.0,,88.0,,44.0,,,,,
20,,65,,सभल,,12.0,,3.0,,10959.0,,0.0,,108.0,,43.0,,,,,
21,,66,,सत कबीर नगर,,3.0,,6.0,,8769.0,,0.0,,100.0,,40.0,,,,,
22,,67,,एट,,2.0,,14.0,,12017.0,,0.0,,100.0,,38.0,,,,,
23,,68,,बागपत,,5.0,,7.0,,10943.0,,0.0,,140.0,,37.0,,,,,
24,,69,,मऊ,,5.0,,9.0,,8873.0,,1.0,,85.0,,34.0,,,,,
25,,70,,बललय,,7.0,,16.0,,22465.0,,0.0,,245.0,,33.0,,,,,
26,,71,,मनैपरुी,,6.0,,11.0,,11385.0,,0.0,,189.0,,31.0,,,,,
27,,72,,क्रिरोजाबाद,,0.0,,12.0,,10453.0,,0.0,,136.0,,29.0,,,,,
28,,73,,बलर मपरु,,1.0,,8.0,,8040.0,,0.0,,139.0,,26.0,,,,,
29,,74,,क सगज,,4.0,,4.0,,4829.0,,0.0,,55.0,,19.0,,,,,
30,,75,,ह र्रस,,1.0,,2.0,,3686.0,,0.0,,43.0,,16.0,,,,,
31,,Total,,,,,,,1972.0,,3143.0,,2014973.0,,10.0,,23382.0,,16640.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23382 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
