"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16954","16683","6","265"
"2","Chengalpattu","175850","172444","858","2548"
"3","Chennai","564438","552234","3550","8654"
"4","Coimbatore","253528","250131","880","2517"
"5","Cuddalore","64612","63644","92","876"
"6","Dharmapuri","29017","28678","58","281"
"7","Dindigul","33352","32670","30","652"
"8","Erode","107821","106689","421","711"
"9","Kallakurichi","31629","31389","30","210"
"10","Kancheepuram","76260","74723","269","1268"
"11","Kanyakumari","63206","61979","165","1062"
"12","Karur","24996","24539","93","364"
"13","Krishnagiri","44134","43705","70","359"
"14","Madurai","75716","74451","78","1187"
"15","Mayiladuthurai","23434","23109","6","319"
"16","Nagapattinam","21434","21049","24","361"
"17","Namakkal","54599","53862","220","517"
"18","Nilgiris","34443","34169","55","219"
"19","Perambalur","12154","11883","26","245"
"20","Pudukottai","30389","29952","16","421"
"21","Ramanathapuram","20702","20305","38","359"
"22","Ranipet","43738","42889","70","779"
"23","Salem","102561","100519","311","1731"
"24","Sivagangai","20530","20271","46","213"
"25","Tenkasi","27426","26927","13","486"
"26","Thanjavur","76480","75366","107","1007"
"27","Theni","43629","43098","8","523"
"28","Thirupathur","29487","28826","34","627"
"29","Thiruvallur","121021","118827","331","1863"
"30","Thiruvannamalai","55385","54662","50","673"
"31","Thiruvarur","42045","41525","57","463"
"32","Thoothukudi","56730","56148","170","412"
"33","Tirunelveli","49832","49305","91","436"
"34","Tiruppur","98744","97259","458","1027"
"35","Trichy","78932","77686","144","1102"
"36","Vellore","50585","49249","192","1144"
"37","Villupuram","46154","45737","59","358"
"38","Virudhunagar","46527","45877","101","549"
"39","Airport Surveillance 
(International)","1135","1063","71","1"
"40","Airport Surveillance 
(Domestic)","1091","1084","6","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,51,128","27,05,034","9,304","36,790"
