"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,304"
"2","Number of persons tested positive today in Tamil Nadu","1,575"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-6 
Singapore-2 
Canada-1 
USA-1"
"","Passengers returned from other states / countries  by 
Road tested positive today","Bangladesh-1 
Bihar-1 
Karnataka-2 
Nepal-1 
Tripura-2 
West Bengal-2"
"","Total","1,594"
"3","Total Number of persons tested positive till date","27,51,128"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,237/ 
5,76,50,087@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,029/ 
5,67,10,071"
"6","No. of Male / Female / Transgender tested positive today","954/640/0"
"7","No. of Male / Female / Transgender tested positive till date","16,05,836/11,45,254/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","624/ 
27,05,034"
"10","Total number of deaths today/ till date","6(2 Private &  
4 Govt) /36,790"
