"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2674","113150","2451","109940","32","3011","199"
"2","SAS Nagar","4685","100374","4225","98758","18","1166","450"
"3","Jalandhar","2395","80660","2120","78458","20","1960","242"
"4","Patiala","1864","63944","1691","62074","8","1719","151"
"5","Amritsar","1109","60664","981","58689","5","1845","130"
"6","Bathinda","1241","52108","1115","50558","2","1425","125"
"7","Hoshiarpur","1054","42163","915","40647","12","1412","104"
"8","Gurdaspur","293","27220","254","26327","3","867","26"
"9","Pathankot","448","24950","382","24397","4","521","32"
"10","Fazilka","321","23753","305","23108","0","621","24"
"11","Muktsar","203","22755","171","22181","1","540","34"
"12","Kapurthala","453","22482","403","21845","4","596","41"
"13","Ropar","889","18827","786","18269","4","459","99"
"14","Ferozepur","396","18289","351","17711","3","540","38"
"15","Mansa","171","17396","163","16999","1","393","4"
"16","Faridkot","335","17170","316","16737","3","413","20"
"17","Sangrur","252","14686","240","13813","5","865","8"
"18","SBS Nagar","380","13782","345","13333","0","409","40"
"19","FG Sahib","606","12521","559","12039","1","437","45"
"20","Moga","194","11193","158","10889","4","270","34"
"21","Tarn Taran","114","11014","86","10591","1","399","24"
"22","Barnala","170","7670","158","7296","4","361","13"
"23","Malerkotla","57","4060","47","3838","3","214","8"
"","Total","20304","780831","18222","758497","138","20443","1891"
