"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19414","18082","1067","265"
"2","Chengalpattu","227016","211722","12669","2625"
"3","Chennai","734734","693929","31845","8960"
"4","Coimbatore","316586","290467","23548","2571"
"5","Cuddalore","72874","69237","2752","885"
"6","Dharmapuri","35145","32201","2662","282"
"7","Dindigul","36816","34537","1622","657"
"8","Erode","127913","118533","8655","725"
"9","Kallakurichi","36059","34107","1740","212"
"10","Kancheepuram","92101","86735","4079","1287"
"11","Kanyakumari","83416","75059","7279","1078"
"12","Karur","28780","26686","1724","370"
"13","Krishnagiri","57790","51476","5946","368"
"14","Madurai","89799","84801","3783","1215"
"15","Mayiladuthurai","26035","24662","1051","322"
"16","Nagapattinam","24743","22940","1434","369"
"17","Namakkal","65522","59958","5038","526"
"18","Nilgiris","40597","38068","2306","223"
"19","Perambalur","14241","13435","558","248"
"20","Pudukottai","33757","31834","1500","423"
"21","Ramanathapuram","24210","22716","1128","366"
"22","Ranipet","52718","48782","3151","785"
"23","Salem","122925","112594","8585","1746"
"24","Sivagangai","23110","21994","901","215"
"25","Tenkasi","32430","29669","2271","490"
"26","Thanjavur","90280","83513","5739","1028"
"27","Theni","50040","46945","2566","529"
"28","Thirupathur","35086","32280","2176","630"
"29","Thiruvallur","143980","136991","5075","1914"
"30","Thiruvannamalai","65534","61058","3795","681"
"31","Thiruvarur","46816","44382","1967","467"
"32","Thoothukudi","64250","61557","2256","437"
"33","Tirunelveli","61459","57309","3707","443"
"34","Tiruppur","123550","110277","12233","1040"
"35","Trichy","92662","87042","4483","1137"
"36","Vellore","56728","54490","1076","1162"
"37","Villupuram","53483","50072","3047","364"
"38","Virudhunagar","55961","52242","3167","552"
"39","Airport Surveillance 
(International)","1224","1206","17","1"
"40","Airport Surveillance 
(Domestic)","1104","1102","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","33,61,316","31,35,118","1,88,599","37,599"
