"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,88,599"
"2","Number of persons tested positive today in Tamil Nadu","16,093"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE – 1 
Qatar – 1 
Sri Lanka - 1"
"","Total","16,096"
"3","Total Number of persons tested positive till date","33,61,316"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,30,651/ 
6,18,85,324@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,22,120/ 
6,08,01,947"
"6","No. of Male / Female / Transgender tested positive today","9,568/6,528/0"
"7","No. of Male / Female / Transgender tested positive till date","19,61,095/14,00,183/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","25,592/ 
31,35,118"
"10","Total number of deaths today/ till date","35(21 Private &  
14 Govt) /37,599"
