"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","329","1124384","0","19651"
"2","Thane","9","120173","0","2289"
"3","TMC","47","199236","1","2178"
"4","Navi Mumbai","48","176626","0","2093"
"5","KDMC","12","178970","0","2978"
"6","Ulhasnagar MC","1","27001","0","685"
"7","Bhivandi Nijampur MC","0","13310","0","496"
"8","Mira Bhayandar MC","7","79011","0","1231"
"9","Palghar","4","65405","0","1244"
"10","Vasai Virar MC","14","101677","1","2175"
"11","Raigad","32","142657","0","3474"
"12","Panvel MC","29","110062","0","1484"
"","Mumbai circle total","532","2338512","2","39978"
"13","Nashik","39","185221","0","3817"
"14","Nashik MC","53","280213","0","4754"
