"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228697","222586","5887","224"
"12","Nashik","476542","467028","8916","598"
"13","Ahmednagar","379688","372026","7246","416"
"14","Jalgaon","150072","147256","2762","54"
"15","Nandurbar","46819","45826","963","30"
"16","Dhule","51280","50515","670","95"
"17","Aurangabad","178215","173685","4288","242"
"18","Jalna","67319","65987","1224","108"
"19","Beed","109551","106617","2887","47"
"20","Latur","105835","103139","2489","207"
"21","Parbhani","58713","57404","1279","30"
"22","Hingoli","22397","21856","515","26"
"23","Nanded","103061","100267","2704","90"
"24","Osmanabad","76054","73724","2139","191"
"25","Amravati","106717","104898","1625","194"
"26","Akola","66786","65263","1474","49"
"27","Washim","47096","46290","641","165"
"28","Buldhana","92857","91943","839","75"
"29","Yavatmal","82484","80554","1820","110"
"30","Nagpur","583374","572662","9216","1496"
"31","Wardha","66131","64637","1409","85"
"32","Bhandara","69088","67663","1142","283"
"33","Gondia","45704","45040","587","77"
"34","Chandrapur","99465","97736","1595","134"
