"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 09-03-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","64","417","259833","258411[138]","99.45","1005","522","2059","237","4984350"
"2","Faridabad","12","113","126926","126074[28]","99.33","739","404","1523","137","3804002"
"3","Hisar","17","41","61901","60690[20]","98.04","1170","172","1215","12","2248525"
"4","Sonepat","7","20","58446","58150[8]","99.49","276","255","1104","40","2196818"
"5","Karnal","3","31","48152","47525","98.70","596","109","603","47","2268815"
"6","Panipat","3","9","36052","35373[1]","98.12","670","169","818","22","1959412"
"7","Panchkula","2","17","44090","43659[13]","99.02","414","40","210","36","1060351"
"8","Ambala","4","22","40742","40178[6]","98.62","542","154","1128","50","2023383"
"9","Sirsa","5","18","33351","32795[2]","98.33","538[1]","166","935","36","1868182"
"10","Rohtak","2","40","31804","31213[5]","98.14","534","130","866","20","1620746"
"11","Yamunanagar","3","15","30596","30126[1]","98.46","455","94","997","65","1841640"
"12","Bhiwani","4","25","26432","25743[4]","97.39","664","76","556","11","1694046"
"13","Kurukshetra","2","14","26819","26409[2]","98.47","396[1]","326","1058","37","1440793"
"14","Mahindergarh","4","30","24736","24541[5]","99.21","165","102","397","27","1330010"
"15","Jind","0","9","24337","23787","97.74","541","201","1024","12","1631962"
"16","Rewari","0","7","24589","24358[3]","99.06","224","54","248","30","1497547"
"17","Jhajjar","1","10","23420","23057[2]","98.45","347[1]","95","466","13","1518348"
"18","Fatehabad","4","8","20048","19542[4]","97.48","498","42","109","5","1172720"
"19","Kaithal","1","14","14211","13827","97.30","370","57","785","11","1663187"
"20","Palwal","2","21","13462","13286[2]","98.69","155","180","538","8","1455805"
"21","Charkhi Dadri","0","7","7415","7263[4]","97.95","145","18","230","95","836949"
"22","Nuh","1","17","6091","5938","97.49","136","110","481","15","1209825"
"Haryana","","141","905","983453","971945[248]","98.83","10580[3]","3476","16983","966","41327416"
