"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109141","1231","105668","2242"
"2","SAS Nagar","94547","1695","91720","1132"
"3","Jalandhar","77580","960","75058","1562"
"4","Patiala","61784","276","60060","1448"
"5","Amritsar","58885","522","56693","1670"
"6","Bathinda","50435","588","48767","1080"
"7","Hoshiarpur","40290","936","38282","1072"
"8","Gurdaspur","26743","242","25644","857"
"9","Pathankot","24108","291","23345","472"
"10","Fazilka","23021","1029","21448","544"
"11","Muktsar","22323","348","21440","535"
"12","Kapurthala","21777","260","20950","567"
"13","Sangrur","18229","95","17229","905"
"14","Ropar","17747","316","16991","440"
"15","Ferozepur","17649","282","16842","525"
"16","Mansa","17191","112","16688","391"
"17","Faridkot","16485","208","15944","333"
"18","SBS Nagar","13318","81","12837","400"
"19","FG Sahib","11760","127","11280","353"
"20","Moga","10867","324","10293","250"
"21","Tarn Taran","10742","347","10006","389"
"22","Barnala","7379","81","7029","269"
"","Total","752001","10351","724214","17436"
