"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40674","1","40304","3","0","367","0"
"2","Ballari","1","115491","11","113693","35","0","1761","2"
"3","Belagavi","9","100097","0","99043","52","1","1000","2"
"4","Bengaluru Rural","0","79269","1","78343","20","0","906","0"
"5","Bengaluru Urban","130","1779735","171","1760489","2308","1","16937","1"
"6","Bidar","0","29804","3","29376","4","0","420","4"
"7","Chamarajanagara","2","43609","4","43067","7","0","524","11"
"8","Chikkaballapura","0","55605","0","55132","13","0","459","1"
"9","Chikkamagaluru","0","57226","2","56802","18","0","406","0"
"10","Chitradurga","7","46213","4","45925","49","1","239","0"
"11","Dakshina 
Kannada","3","135434","3","133562","25","0","1837","10"
"12","Davanagere","2","57530","0","56901","6","0","623","0"
"13","Dharwada","0","84049","5","82638","28","1","1380","3"
"14","Gadag","6","30583","0","30238","10","0","335","0"
"15","Hassana","2","143849","0","142533","9","0","1305","2"
"16","Haveri","0","26834","0","26157","9","0","668","0"
"17","Kalaburagi","1","76577","1","75655","43","0","879","0"
"18","Kodagu","1","49254","9","48855","46","0","352","1"
"19","Kolara","1","62971","3","62290","17","0","664","0"
"20","Koppala","1","41280","1","40737","5","0","538","0"
"21","Mandya","2","101470","2","100752","10","1","708","0"
"22","Mysuru","9","229366","8","226734","75","1","2557","0"
"23","Raichuru","1","45444","1","45072","10","2","362","0"
"24","Ramanagara","0","29768","0","29415","6","0","347","0"
"25","Shivamogga","5","83286","5","82093","64","0","1128","1"
"26","Tumakuru","9","159793","11","158523","54","0","1216","0"
"27","Udupi","2","95588","5","95025","17","0","546","0"
"28","Uttara Kannada","2","71145","1","70313","24","0","808","0"
"29","Vijayapura","0","40992","4","40469","6","0","517","0"
"30","Yadagiri","1","29955","2","29736","7","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","197","3942927","258","3899905","2980","8","40004","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 08-03-2022 
 Page 5 of 8","","","","","","","","",""
