Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForState,deltaVaccinatedForDistrict,delta7ConfirmedForState,delta7DeceasedForState,delta7RecoveredForState,delta7VaccinatedForState,delta7TestedForState,delta7ConfirmedForDistrict,delta7DeceasedForDistrict,delta7RecoveredForDistrict,delta7VaccinatedForDistrict,delta21_14ConfirmedForState,delta21_14ConfirmedForDistrict,7DmaVaccinatedForState,7DmaVaccinatedForDistrict
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Churu,0,0,0,16712,0,0,0,18926.0,130.0,18797.0,0,0,0,2041172,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,16720,107,16613,306295,1298380,566863,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1865243.0,76040,270.0,18.0,0.0,36.0,893417.0,102927.0,-3089.0,-32.0,-3057.0,190293.0,27,0,61423330.0,1545573.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Dausa,0,14,0,16712,0,0,0,15757.0,92.0,15663.0,0,0,0,1637226,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,13351,62,13289,200474,937688,374461,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1312149.0,76040,1999.0,18.0,0.0,36.0,893417.0,102927.0,-3369.0,-45.0,-3324.0,68774.0,27,0,61423330.0,1692591.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Dholpur,0,-83,0,16712,0,0,0,12682.0,70.0,12624.0,0,0,0,1207293,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,11010,48,10961,218232,657271,271725,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,928996.0,76040,461.0,18.0,0.0,36.0,893417.0,102927.0,-2341.0,-14.0,-2328.0,156552.0,27,0,61423330.0,1190828.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Dungarpur,0,-19,0,16712,0,0,0,13123.0,74.0,13050.0,0,0,0,1388906,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,18407,131,18276,237801,733311,337944,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1071255.0,76040,1154.0,18.0,0.0,36.0,893417.0,102927.0,7397.0,83.0,7316.0,116493.0,27,0,61423330.0,962894.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Ganganagar,0,39,0,16712,0,0,0,18677.0,131.0,18541.0,0,0,0,1969520,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,19353,150,19203,321757,1270217,502532,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1772749.0,76040,252.0,18.0,0.0,36.0,893417.0,102927.0,946.0,19.0,927.0,199840.0,27,0,61423330.0,1258836.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Hanumangarh,0,-1859,0,16712,0,0,0,4630.0,297.0,4598.0,0,0,0,1779650,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,16053,111,15942,356808,1227419,569015,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1796434.0,76040,489.0,18.0,0.0,36.0,893417.0,102927.0,15992.0,111.0,15881.0,,27,0,61423330.0,
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jaipur,2,1904,3,16712,0,0,0,67478.0,398.0,66805.0,0,0,0,6663971,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,187794,1970,185813,2459047,4568966,2154561,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,6723527.0,76040,9587.0,18.0,0.0,36.0,893417.0,102927.0,168441.0,1820.0,166610.0,2378341.0,27,0,61423330.0,3173252.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jaisalmer,0,-6,0,16712,0,0,0,15363.0,98.0,15265.0,0,0,0,672008,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,13639,66,13573,200616,413650,186724,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,600374.0,76040,838.0,18.0,0.0,36.0,893417.0,102927.0,-2414.0,-45.0,-2368.0,118074.0,27,1,61423330.0,1442390.0
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jalore,0,-115,0,16712,0,0,0,2878.0,37.0,2857.0,0,0,0,1830151,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,10067,72,9995,365419,980782,375188,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1355970.0,76040,1485.0,18.0,0.0,36.0,893417.0,102927.0,10065.0,72.0,9993.0,,27,0,61423330.0,
10/27/2021,RJ,4,8954,4,16712,0,0,0,954399.0,7675.0,945416.0,0,0,0,Jhalawar,0,29,0,16712,0,0,0,138022.0,1456.0,136554.0,0,0,0,1411327,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,13612,187,13425,265710,920947,352785,2021-10-27 18:00:00+05:30,77264000,2021-10-27 18:00:00+05:30,https://twitter.com/dineshkumawat,,954411,8954,945437,14752007,42374177,19518213,61892390.0,1273732.0,76040,1596.0,18.0,0.0,36.0,893417.0,102927.0,-174172.0,-1783.0,-172377.0,-703073.0,27,10,61423330.0,5127602.0
