"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109515","267","106982","2266"
"2","SAS Nagar","95243","506","93596","1141"
"3","Jalandhar","77993","327","76098","1568"
"4","Patiala","61896","68","60372","1456"
"5","Amritsar","59220","121","57421","1678"
"6","Bathinda","50670","128","49457","1085"
"7","Hoshiarpur","40582","277","39216","1089"
"8","Gurdaspur","26848","73","25915","860"
"9","Pathankot","24347","176","23685","486"
"10","Fazilka","23238","325","22369","544"
"11","Muktsar","22463","92","21834","537"
"12","Kapurthala","21921","76","21266","579"
"13","Ropar","17869","62","17356","451"
"14","Ferozepur","17787","54","17203","530"
"15","Mansa","17216","15","16810","391"
"16","Faridkot","16653","112","16205","336"
"17","Sangrur","14000","18","13264","718"
"18","SBS Nagar","13366","32","12931","403"
"19","FG Sahib","11807","33","11420","354"
"20","Moga","10961","33","10675","253"
"21","Tarn Taran","10841","96","10352","393"
"22","Barnala","7429","38","7076","315"
"23","Malerkotla","4265","4","4071","190"
"","Total","756130","2933","735574","17623"
