"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","88539","776","85643","2120"
"2","SAS Nagar","70069","960","68033","1076"
"3","Jalandhar","64288","647","62139","1502"
"4","Patiala","51160","2103","47691","1366"
"5","Amritsar","47788","326","45863","1599"
"6","Bathinda","42016","192","40775","1049"
"7","Hoshiarpur","31222","190","30034","998"
"8","Gurdaspur","22608","181","21622","805"
"9","Fazilka","20313","25","19757","531"
"10","Pathankot","19766","672","18660","434"
"11","Muktsar","18820","11","18284","525"
"12","Kapurthala","17995","75","17364","556"
"13","Sangrur","15827","49","14902","876"
"14","Mansa","15619","8","15230","381"
"15","Ferozepur","14531","49","13978","504"
"16","Faridkot","13982","17","13644","321"
"17","Ropar","13073","58","12587","428"
"18","SBS Nagar","11521","27","11104","390"
"19","FG Sahib","9110","192","8580","338"
"20","Moga","8732","44","8454","234"
"21","Tarn Taran","8141","61","7699","381"
"22","Barnala","5982","24","5710","248"
"","Total","611102","6687","587753","16662"
