,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316696,14730,2304929,33531114
1,Anakapalli,2,0,0,0,2316696,14730,2304929,33531114
2,Anantapur,177611,0,0,0,2316696,14730,2304929,33531114
3,Annamayya,0,0,0,0,2316696,14730,2304929,33531114
4,Bapatla,0,0,0,0,2316696,14730,2304929,33531114
5,Chittoor,272394,0,0,0,2316696,14730,2304929,33531114
6,East Godavari,316586,0,0,0,2316696,14730,2304929,33531114
7,Eluru,0,0,0,0,2316696,14730,2304929,33531114
8,Guntur,203244,0,0,0,2316696,14730,2304929,33531114
9,Kakinada,0,0,0,0,2316696,14730,2304929,33531114
10,Konaseema,0,0,0,0,2316696,14730,2304929,33531114
11,Krishna,136897,0,0,0,2316696,14730,2304929,33531114
12,Kurnool,144244,0,0,0,2316696,14730,2304929,33531114
13,Nandyal,0,0,0,0,2316696,14730,2304929,33531114
14,NTR District,3,0,0,0,2316696,14730,2304929,33531114
15,Palnadu,0,0,0,0,2316696,14730,2304929,33531114
16,Parvathipuram Manyam,0,0,0,0,2316696,14730,2304929,33531114
17,Prakasam,155938,0,0,0,2316696,14730,2304929,33531114
18,S.P.S. Nellore,164375,0,0,0,2316696,14730,2304929,33531114
19,Sri Sathya Sai,0,0,0,0,2316696,14730,2304929,33531114
20,Srikakulam,133952,0,0,0,2316696,14730,2304929,33531114
21,Tirupati,0,0,0,0,2316696,14730,2304929,33531114
22,Visakhapatnam,190943,0,0,0,2316696,14730,2304929,33531114
23,Vizianagaram,92241,0,0,0,2316696,14730,2304929,33531114
24,West Godavari,193378,0,0,0,2316696,14730,2304929,33531114
25,Y.S.R. Kadapa,134888,0,0,0,2316696,14730,2304929,33531114
