"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,42,476"
"2","Number of persons tested positive today in Tamil Nadu","23,957"
"","Passengers returned from other states/Countries by 
Road tested positive today","Bihar - 4 
Karnataka - 4 
Bangladesh - 3 
Jharkhand - 2 
Andhra Pradesh - 2 
West Bengal - 1 
Meghalaya - 1 
Kerala - 1"
"","Total","23,975"
"3","Total Number of persons tested positive till date","29,39,923"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,40,720/ 
5,95,48,455@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,36,559/ 
5,85,89,965"
"6","No. of Male / Female / Transgender tested positive today","14,197/9,778/0"
"7","No. of Male / Female / Transgender tested positive till date","17,17,538/12,22,347/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","323 (69 Govt+ 
254 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","12,484/ 
27,60,458"
"10","Total number of deaths today/ till date","22(11 Private &  
11 Govt) /36,989"
