"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109698","48","107374","2276"
"2","SAS Nagar","95585","69","94371","1145"
"3","Jalandhar","78199","52","76570","1577"
"4","Patiala","61991","27","60507","1457"
"5","Amritsar","59360","25","57653","1682"
"6","Bathinda","50813","14","49711","1088"
"7","Hoshiarpur","40780","47","39640","1093"
"8","Gurdaspur","26914","13","26038","863"
"9","Pathankot","24484","40","23949","495"
"10","Fazilka","23346","36","22765","545"
"11","Muktsar","22537","11","21988","538"
"12","Kapurthala","21996","1","21416","579"
"13","Ropar","17924","12","17457","455"
"14","Ferozepur","17872","9","17332","531"
"15","Mansa","17226","2","16832","392"
"16","Faridkot","16712","7","16367","338"
"17","Sangrur","14305","2","13568","735"
"18","SBS Nagar","13387","2","12979","406"
"19","FG Sahib","11826","4","11468","354"
"20","Moga","10977","4","10719","254"
"21","Tarn Taran","10881","11","10476","394"
"22","Barnala","7481","13","7123","345"
"23","Malerkotla","3965","0","3789","176"
"","Total","758259","449","740092","17718"
