,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7675,7541,129,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,529975,295690,234285,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,11,516,527,1,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2070738,2053755,14423,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,56816803,33879880,22936923,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,3286,16766,20052,222,275,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55242,54908,280,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,1369110,784231,584879,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,253,528,781,10,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,614863,605656,6065,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,31118248,20684462,10433786,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,8784,31548,40332,200,248,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726178,716476,9663,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,73866378,52010105,21856273,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,27278,46063,73341,16,3,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65394,64546,820,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,1529756,934049,595707,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,109,582,691,3,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006459,992596,13591,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,24036375,15558118,8478257,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,15124,12136,27260,26,11,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,1082669,668852,413817,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,199,871,1070,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440575,1415118,25095,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,21667238,13479934,8187304,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,5564,12369,17933,47,31,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178594,174965,3377,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,2264494,1274531,989963,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,122,912,1034,25,31,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,827112,816710,10090,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,76336802,45298459,31038343,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,10168,65489,75657,44,23,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,771495,761307,10052,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,27345045,18179088,9165957,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,6577,11259,17836,14,24,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,226213,221243,3826,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,10215151,5768495,4446656,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,766,12567,13333,95,141,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,334823,328783,4459,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,16074464,9566705,6507759,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,693,5852,6545,223,153,2,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,349089,343812,5139,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,22656669,15879696,6776973,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,11753,13361,25114,23,20,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,2992897,2947354,38165,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,69622206,43533413,26088793,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,10227,42174,52401,313,369,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Karnataka,65798000
16,Kerala,5084095,4984328,36847,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,41594269,25560214,16034055,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,3725,46467,50192,6111,7202,372,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Kerala,35125000
17,Ladakh,21270,20847,212,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,373651,210549,163102,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,0,3,3,18,12,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,10370,10314,51,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,103627,55336,48291,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,1,18,19,4,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,6627838,6471763,140692,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,105575536,70489663,35085873,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,40909,60002,100911,963,972,24,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Maharashtra,122153000
20,Manipur,124700,122160,1956,2021-11-19,TT,34489623,465082,33897921,2021-11-19 06:34:24.847044,629387540,2021-11-18 00:00:00,1138699,1153595556,762169283,391426273,2091560,1267439,824121,https://www.icmr.gov.in/,11106,459,12789,687929,312644,1000573,213,789,1002,61,28,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.2857142857,1340164.142857143,16386.14285714286,0,0,0,,,1332900000,Manipur,3103000
