"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,979"
"2","Number of persons tested positive today in Tamil Nadu","599"
"","Passengers returned from other countries  by 
International airport tested positive today","UK – 2 
UAE - 2"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh - 1"
"","Total","604"
"3","Total Number of persons tested positive till date","27,41,617"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,713/ 
5,65,18,363@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,481/ 
5,55,80,713"
"6","No. of Male / Female / Transgender tested positive today","344/260/0"
"7","No. of Male / Female / Transgender tested positive till date","16,00,270/11,41,309/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","317 (69 Govt+ 
248 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","695/ 
26,97,939"
"10","Total number of deaths today/ till date","8(3 Private &  
5 Govt) /36,699)"
