,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316691,14730,2304888,33508244
1,Anakapalli,0,0,0,0,2316691,14730,2304888,33508244
2,Anantapur,177611,0,0,0,2316691,14730,2304888,33508244
3,Annamayya,0,0,0,0,2316691,14730,2304888,33508244
4,Bapatla,0,0,0,0,2316691,14730,2304888,33508244
5,Chittoor,272394,0,0,0,2316691,14730,2304888,33508244
6,East Godavari,316587,0,0,0,2316691,14730,2304888,33508244
7,Eluru,0,0,0,0,2316691,14730,2304888,33508244
8,Guntur,203246,0,0,0,2316691,14730,2304888,33508244
9,Kakinada,2,0,0,0,2316691,14730,2304888,33508244
10,Konaseema,0,0,0,0,2316691,14730,2304888,33508244
11,Krishna,136896,0,0,0,2316691,14730,2304888,33508244
12,Kurnool,144244,0,0,0,2316691,14730,2304888,33508244
13,Nandyal,0,0,0,0,2316691,14730,2304888,33508244
14,NTR District,1,0,0,0,2316691,14730,2304888,33508244
15,Palnadu,0,0,0,0,2316691,14730,2304888,33508244
16,Parvathipuram Manyam,0,0,0,0,2316691,14730,2304888,33508244
17,Prakasam,155937,0,0,0,2316691,14730,2304888,33508244
18,S.P.S. Nellore,164375,0,0,0,2316691,14730,2304888,33508244
19,Sri Sathya Sai,0,0,0,0,2316691,14730,2304888,33508244
20,Srikakulam,133952,0,0,0,2316691,14730,2304888,33508244
21,Tirupati,0,0,0,0,2316691,14730,2304888,33508244
22,Visakhapatnam,190939,0,0,0,2316691,14730,2304888,33508244
23,Vizianagaram,92241,0,0,0,2316691,14730,2304888,33508244
24,West Godavari,193378,0,0,0,2316691,14730,2304888,33508244
25,Y.S.R. Kadapa,134888,0,0,0,2316691,14730,2304888,33508244
