"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","94619","5756","86729","2134"
"2","SAS Nagar","76194","5808","69307","1079"
"3","Jalandhar","67521","2736","63277","1508"
"4","Patiala","57178","4324","51474","1380"
"5","Amritsar","51068","2994","46472","1602"
"6","Bathinda","43963","1865","41045","1053"
"7","Hoshiarpur","33014","1777","30232","1005"
"8","Gurdaspur","23936","1187","21940","809"
"9","Pathankot","21678","1605","19635","438"
"10","Fazilka","20579","265","19782","532"
"11","Muktsar","19130","306","18299","525"
"12","Kapurthala","19012","894","17562","556"
"13","Sangrur","16315","397","15039","879"
"14","Mansa","15895","275","15238","382"
"15","Ferozepur","15044","517","14023","504"
"16","Faridkot","14414","396","13697","321"
"17","Ropar","14224","1054","12742","428"
"18","SBS Nagar","11899","343","11166","390"
"19","FG Sahib","10171","748","9083","340"
"20","Moga","9051","300","8516","235"
"21","Tarn Taran","8593","486","7725","382"
"22","Barnala","6238","270","5719","249"
"","Total","649736","34303","598702","16731"
